,game_date,game_id,game_type,league_id,league_name,level,team,team_id,opp,away_team,home_team,venue,player_id,W,L,G,GS,CG,SHO,SV,HLD,BFP,IP,H,ER,R,HR,SO,BB,IBB,HBP,WP,QS,Player,team_abbrev,opp_abbrev,home_team_abbrev,away_team_abbrev,affiliate,DKPts,game_year
348461,2025-03-18,778563,R,1,Major League Baseball,MLB,Los Angeles Dodgers,119,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome,676508,0,0,1,0,0,0,0,1,3,1.0,0,0,0,0,1,0,0,0,0,0,Ben Casparius,LAD,CHC,CHC,LAD,LAD,4.25,2025.0
348462,2025-03-18,778563,R,1,Major League Baseball,MLB,Los Angeles Dodgers,119,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome,607455,0,0,1,0,0,0,0,1,3,1.0,0,0,0,0,1,0,0,0,0,0,Anthony Banda,LAD,CHC,CHC,LAD,LAD,4.25,2025.0
348463,2025-03-18,778563,R,1,Major League Baseball,MLB,Los Angeles Dodgers,119,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome,656945,0,0,1,0,0,0,1,0,3,1.0,0,0,0,0,1,0,0,0,0,0,Tanner Scott,LAD,CHC,CHC,LAD,LAD,4.25,2025.0
348464,2025-03-18,778563,R,1,Major League Baseball,MLB,Los Angeles Dodgers,119,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome,595014,0,0,1,0,0,0,0,1,4,1.0,0,0,0,0,2,0,0,1,0,0,Blake Treinen,LAD,CHC,CHC,LAD,LAD,6.25,2025.0
348465,2025-03-18,778563,R,1,Major League Baseball,MLB,Los Angeles Dodgers,119,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome,808967,1,0,1,1,0,0,0,0,19,5.0,3,1,1,0,4,1,0,0,0,0,Yoshinobu Yamamoto,LAD,CHC,CHC,LAD,LAD,18.849999999999998,2025.0
348466,2025-03-18,778563,R,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome,669212,0,0,1,0,0,0,0,0,5,1.33,1,0,0,0,1,0,0,0,0,0,Eli Morgan,CHC,LAD,CHC,LAD,CHC,4.3925,2025.0
348467,2025-03-18,778563,R,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome,684007,0,0,1,1,0,0,0,0,16,4.0,0,0,0,0,2,4,0,0,0,0,Shota Imanaga,CHC,LAD,CHC,LAD,CHC,10.6,2025.0
348468,2025-03-18,778563,R,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome,518489,0,0,1,0,0,0,0,0,6,1.0,2,1,1,0,1,1,0,0,0,0,Ryan Brasier,CHC,LAD,CHC,LAD,CHC,0.45000000000000007,2025.0
348469,2025-03-18,778563,R,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome,676962,0,1,1,0,0,0,0,0,15,2.67,4,2,3,0,5,3,0,0,0,0,Ben Brown,CHC,LAD,CHC,LAD,CHC,7.8075,2025.0
348578,2025-03-19,778564,R,1,Major League Baseball,MLB,Los Angeles Dodgers,119,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome,681911,0,0,1,0,0,0,1,0,5,1.0,1,0,0,0,1,1,0,0,0,0,Alex Vesia,LAD,CHC,CHC,LAD,LAD,3.05,2025.0
348579,2025-03-19,778564,R,1,Major League Baseball,MLB,Los Angeles Dodgers,119,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome,689017,1,0,1,0,0,0,0,0,7,2.0,1,0,0,0,3,0,0,0,0,0,Landon Knack,LAD,CHC,CHC,LAD,LAD,13.9,2025.0
348580,2025-03-19,778564,R,1,Major League Baseball,MLB,Los Angeles Dodgers,119,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,Tokyo Dome,489446,0,0,1,0,0,0,0,1,4,1.0,1,0,0,0,2,0,0,0,0,0,Kirby Yates,LAD,CHC,CHC,LAD,LAD,5.65,2025.0
